movie_id,quality_group,resolution,size,label,url
298725-one-night-stand-2016-movie-1080p-webrip-x264-1-3gb,,,1.3GB,Click Here To Download [1.3GB],https://vgmlinks.lol/6330
227010-dynamite-2017-dual-audio-hindi-480p-uncut-hdrip-440mb,,,440MB,Click Here To Download [440MB],https://vgmlinks.lol/6313
88165-dynamite-2017-dual-audio-hindi-hdrip-hevc-200mb,,,200MB,Click Here To Download [200MB]Â,https://vgmlinks.lol/6315
331520-mister-2017-dual-audio-hindi-480p-uncut-hdrip-490mb,,,490MB,Click Here To Download [490MB],https://vgmlinks.lol/6319
55965-toilet-ek-prem-katha-2017-movie-bluray-x264-1-4gb,720p,,1.5GB,Click Here To Download [1.5 GB],https://vgmlinks.lol/67e780e75063d
215180-toilet-ek-prem-katha-2017-hindi-movie-480p-bluray-450mb,720p,,1.5GB,Click Here To Download [1.5 GB],https://vgmlinks.lol/6826386cc50a1
215180-toilet-ek-prem-katha-2017-hindi-movie-480p-bluray-450mb,480p,,464MB,Click Here To Download [464 MB],https://vgmlinks.lol/68263863e9f00
166635-the-great-father-2017-dual-audio-hindi-480p-uncut-bluray-470mb,,,470MB,Click Here To Download [470MB],https://vgmlinks.lol/6281
88690-dj-duvvada-jagannadham-2017-hindi-dubbed-720p-uncut-dthrip-700mb,,,700MB,Click Here To Download [700MB],https://vgmlinks.lol/6288
360465-dj-duvvada-jagannadham-2017-dual-audio-hindi-movie-hevc-200mb-dthrip,480P,,200MB,Click Here To Download [200MB],https://nexdrive.love/genxfm356176383100521/
360465-dj-duvvada-jagannadham-2017-dual-audio-hindi-movie-hevc-200mb-dthrip,720P,,200MB,Click Here To Download [200MB],https://nexdrive.love/genxfm168019247647548/
360465-dj-duvvada-jagannadham-2017-dual-audio-hindi-movie-hevc-200mb-dthrip,1080P,,200MB,Click Here To Download [200MB],https://nexdrive.love/genxfm008749839573339/
169715-the-great-father-2017-hindi-dual-audio-bluray-hevc-200mb,,,200MB,Click Here To Download [200MB]Â,https://vgmlinks.lol/6291
163695-rupinder-gandhi-2-2017-punjabi-movie-480p-hdrip-380mb,,,380MB,Click Here To Download [380MB],https://vgmlinks.lol/6258
199220-the-great-father-2017-dual-audio-hindi-720p-uncut-bluray-1-7gb,,,1.7GB,Click Here To Download [1.7GB],https://vgmlinks.lol/6280
277445-toilet-ek-prem-katha-2017-hindi-movie-hevc-bluray-220mb,720p,,1.5GB,Click Here To Download [1.5 GB],https://vgmlinks.lol/67c6633b79d35
277445-toilet-ek-prem-katha-2017-hindi-movie-hevc-bluray-220mb,480p,,464MB,Click Here To Download [464 MB],https://vgmlinks.lol/67c66320cdd81
4690-machine-2017-movie-720p-hdrip-x264-1-1gb,,,1.1GB,Click Here To Download [1.1GB],https://vgmlinks.lol/6228
257740-rupinder-gandhi-2-2017-punjabi-movie-hdrip-x264-1gb,,,1GB,Click Here To Download [1GB],https://vgmlinks.lol/6256
76335-do-lafzon-ki-kahani-2016-hindi-movie-hevc-hdrip-180mb,,,180MB,Click Here To Download [180MB],https://vgmlinks.lol/6240
203280-do-lafzon-ki-kahani-2016-hindi-movie-480p-hdrip-360mb,,,360MB,Click Here To Download [360MB],https://vgmlinks.lol/6238
227920-maya-2015-dual-audio-hindi-hdrip-hevc-200mb,,,200MB,Click Here To Download [200MB],https://vgmlinks.lol/6254
178325-machine-2017-hindi-movie-480p-hdrip-400mb,,,400MB,Click Here To Download [400MB],https://vgmlinks.lol/6230
8610-machine-2017-hindi-movie-hevc-hdrip-190mb,,,190MB,Click Here To Download [190MB],https://vgmlinks.lol/6232
301490-do-lafzon-ki-kahani-2016-movie-720p-hdrip-x264-1gb,,,1GB,Click Here To Download [1GB],https://vgmlinks.lol/6236
263725-maya-2015-dual-audio-hindi-movie-uncut-hdrip-720p-1-4gb,,,1.4GB,Click Here To Download [1.4GB],https://vgmlinks.lol/6214
6545-kadamban-2017-hindi-dubbed-720p-hdrip-900mb,,,900MB,Click Here To Download [900MB],https://vgmlinks.lol/6223
