id,href,title,cover_image,date_posted,page,content_type,movie_name,release_year,format,size,original_lang,quality,genres,cast,imdb_rating,season,episodes,synopsis,categories,screenshots,watch_online,scraped_at,detail_error
298725-one-night-stand-2016-movie-1080p-webrip-x264-1-3gb,https://moviedbhub.com/298725-one-night-stand-2016-movie-1080p-webrip-x264-1-3gb.html,One Night Stand 2016 Full Movie 1080p WEBRip Download - 1.3GB,https://moviehdtv.com/uploads/posts/covers/one-night-stand-2016-movie-1080p-webrip-x264-1-3gb.webp,"November 07, 2017",0,movie,: One Night Stand,2016,,1.3GB 1.3GB,hi,,Drama|Romance,"Tanuj Virwani as Urvil Raisingh, Sunny Leone as Celina/Ambar, Nyra Banerjee as Simran, Narendra Jetley as Azad Awasthi, Kapil Punjabi as Dilip Shah, Aamir Ahmed as Siddharth Ahuja, Shishir Sharma as Mr. Walia, Ninad Kamat as David, Elli Avram as Sana, Khalid Siddiqui as Adhiraj Kapoor, Kanwaljit Singh as Raghav Kapoor, Adhiraj's father, Geeta Bisht as Diya",- 4.6,,,An obsession with a woman Celina with whom Urvil had a one-night stand brings disharmony into hiss life and destroys his peace of mind.,,https://moviehdtv.com/uploads/posts/covers/one-night-stand-2016-movie-1080p-webrip-x264-1-3gb.webp,,2026-06-28T07:22:21.192476+00:00,
227010-dynamite-2017-dual-audio-hindi-480p-uncut-hdrip-440mb,https://moviedbhub.com/227010-dynamite-2017-dual-audio-hindi-480p-uncut-hdrip-440mb.html,Dynamite 2017 440MB Dual Audio Hindi 480p UnCut HDRip Download,https://moviehdtv.com/uploads/posts/covers/dynamite-2017-dual-audio-hindi-480p-uncut-hdrip-440mb.webp,"November 06, 2017",0,movie,: Dynamite,2017,Mkv,440MB,ja,,Drama,"Yohta Kawase as Koichi Sakata, Yusuke Matsu as Hiroto Aoki",,,,"Elementary school boy Hiroto doesn’t have any talents or dreams for the future. One day he sees a wrestling match by popular masked wrestler Dynamite Wolf, and for the first time becomes enthusiastic. He decides to ask Dynamite Wolf to teach him how to fight. Meanwhile, Dynamite Wolf’s foray into politics has become big news… This energetic coming-of-age drama is the first entertainment film by a director who has worked on self-documentaries and POV horror. The star is Kawase Yota from “Rolling” by TOMINAGA Masanori. With strong support from Dotonbori Pro Wrestling, a match scene was shot with 200 extras, taking “Dynamite Wolf” beyond the realm of a typical low-budget movie.",,https://moviehdtv.com/uploads/posts/covers/dynamite-2017-dual-audio-hindi-480p-uncut-hdrip-440mb.webp,,2026-06-28T07:22:21.343707+00:00,
88165-dynamite-2017-dual-audio-hindi-hdrip-hevc-200mb,https://moviedbhub.com/88165-dynamite-2017-dual-audio-hindi-hdrip-hevc-200mb.html,Dynamite 2017 200mb Dual Audio Hindi HDRip Hevc Download,https://moviehdtv.com/uploads/posts/covers/dynamite-2017-dual-audio-hindi-hdrip-hevc-200mb.webp,"November 06, 2017",0,movie,: Dynamite,2017,Mkv,200MB,ja,,Drama,"Yohta Kawase as Koichi Sakata, Yusuke Matsu as Hiroto Aoki",,,,"Elementary school boy Hiroto doesn’t have any talents or dreams for the future. One day he sees a wrestling match by popular masked wrestler Dynamite Wolf, and for the first time becomes enthusiastic. He decides to ask Dynamite Wolf to teach him how to fight. Meanwhile, Dynamite Wolf’s foray into politics has become big news… This energetic coming-of-age drama is the first entertainment film by a director who has worked on self-documentaries and POV horror. The star is Kawase Yota from “Rolling” by TOMINAGA Masanori. With strong support from Dotonbori Pro Wrestling, a match scene was shot with 200 extras, taking “Dynamite Wolf” beyond the realm of a typical low-budget movie.",,https://moviehdtv.com/uploads/posts/covers/dynamite-2017-dual-audio-hindi-hdrip-hevc-200mb.webp,,2026-06-28T07:22:21.489749+00:00,
331520-mister-2017-dual-audio-hindi-480p-uncut-hdrip-490mb,https://moviedbhub.com/331520-mister-2017-dual-audio-hindi-480p-uncut-hdrip-490mb.html,Mister 2017 490MB Dual Audio Hindi UnCut HDRip Download,https://moviehdtv.com/uploads/posts/covers/mister-2017-dual-audio-hindi-480p-uncut-hdrip-490mb.webp,"November 06, 2017",0,movie,: Mister,2017,Mkv,490MB,it,,Romance|Comedy,"Alessandro Siani as Martino, Diego Abatantuono as dottor Guglielmo Gioia, Carla Signoris as Augusta, Elena Cucci as Arianna Crof, Cristiana Dell'Anna as Caterina, Yari Gugliucci as Procolo, David Zed as allenatore nazionale, Ernesto Mahieux as presidente squadra, Pippo Lorusso as Violinista, Marco Boriero as Paziente Golf, David Paryla as David, Giuseppe Russo as Telecronista, James A. 'Aj Nytronics' Minoggio as Man in suit, Felicitè Mbezelè as Colf Casa Augusta, Michele Gammino as Rappresentante Sponsor, David Kirk Traylor as Clint",- 6.102,,,"Martino's sister, Caterina, can't work anymore for health reasons and he replaces her as cleaner for dr. Guglielmo Gioia, a mental coach. While the doctor leaves, Martino pretends to be his assistant.",,https://moviehdtv.com/uploads/posts/covers/mister-2017-dual-audio-hindi-480p-uncut-hdrip-490mb.webp,,2026-06-28T07:22:21.598962+00:00,
55965-toilet-ek-prem-katha-2017-movie-bluray-x264-1-4gb,https://moviedbhub.com/55965-toilet-ek-prem-katha-2017-movie-bluray-x264-1-4gb.html,Toilet - Ek Prem Katha (2017) Full Movie Bluray Download - 1.4GB,https://moviehdtv.com/uploads/posts/covers/toilet-ek-prem-katha-2017-movie-bluray-x264-1-4gb.webp,"November 02, 2017",0,movie,: Toilet - Ek Prem Katha,2017,,1.4GB 1.4GB,hi,,Comedy|Drama|Romance,"Akshay Kumar as Keshav Sharma, Bhumi Pednekar as Jaya Sharma, Anupam Kher as Kakka, Sudhir Pandey as Panditji, Rajesh Sharma as Mathur, Shubha Khote as Dadi, Sachin Khedekar as Director, Sana Khaan as Mallika, Ayesha Raza as Vidya",- 6.934,,,"A woman threatens to leave her husband unless he installs a toilet in their home. To win back her love and respect, he heads out on a journey to fight against the backward society.",,https://moviehdtv.com/uploads/posts/covers/toilet-ek-prem-katha-2017-movie-bluray-x264-1-4gb.webp|https://moviehdtv.com/uploads/posts/covers/screenshot-Toilet-Ek-Prem-Katha-2017.webp,,2026-06-28T07:22:21.661849+00:00,
215180-toilet-ek-prem-katha-2017-hindi-movie-480p-bluray-450mb,https://moviedbhub.com/215180-toilet-ek-prem-katha-2017-hindi-movie-480p-bluray-450mb.html,Toilet - Ek Prem Katha (2017) 450MB Full Movie 480p Bluray Download,https://moviehdtv.com/uploads/posts/covers/toilet-ek-prem-katha-2017-hindi-movie-480p-bluray-450mb.webp,"November 02, 2017",0,movie,: Toilet - Ek Prem Katha,2017,,,hi,,Comedy|Drama|Romance,"Akshay Kumar as Keshav Sharma, Bhumi Pednekar as Jaya Sharma, Anupam Kher as Kakka, Sudhir Pandey as Panditji, Rajesh Sharma as Mathur, Shubha Khote as Dadi, Sachin Khedekar as Director, Sana Khaan as Mallika, Ayesha Raza as Vidya",- 6.934,,,"A woman threatens to leave her husband unless he installs a toilet in their home. To win back her love and respect, he heads out on a journey to fight against the backward society.",,https://moviehdtv.com/uploads/posts/covers/toilet-ek-prem-katha-2017-hindi-movie-480p-bluray-450mb.webp|https://moviehdtv.com/uploads/posts/covers/screenshot-Toilet.Ek.Prem.Katha.2017.webp,,2026-06-28T07:22:21.965310+00:00,
166635-the-great-father-2017-dual-audio-hindi-480p-uncut-bluray-470mb,https://moviedbhub.com/166635-the-great-father-2017-dual-audio-hindi-480p-uncut-bluray-470mb.html,The Great Father 2017 470MB Dual Audio Hindi 480p UnCut Bluray Download,https://moviehdtv.com/uploads/posts/covers/the-great-father-2017-dual-audio-hindi-480p-uncut-bluray-470mb.webp,"November 02, 2017",0,movie,: The Great Father,2017,Mkv,470MB,ml,,Action|Crime|Mystery,"Mammootty as David, Arya as Andrews Eapen, Anikha Surendran as Sara David, Sneha as Michelle David, Miya George as Dr.Susan, Malavika Mohanan as Meera, Kalabhavan Shajon as Sathyan, Santhosh Keezhattoor as James, Sohan Seenulal as Gokul, I. M. Vijayan as Anto, Balaji Sarma as Jose, Sunil Sukhada as Principal, Rony David Raj as Frango, Mukundan as Ravi, Shaji Nadesan as Joby, Deepak Parambol as ACP Shafeer, Aaryan Krishna Menon as Student at Boys Hostel, Anu Joseph as Interrogator at School, Shaam as Samuel, Subeesh Sudhi as Narayanan's Nephew, Prajod Kalabhavan as Johny, Molly Kannamaly as Lady at road, Baiju V.K. as Wazeem, Aneesh G Menon as Dismissed Guy",- 6.231,,,A businessman who is trying hard to be a good father to his daughter has a run-in with malevolent policeman.,,https://moviehdtv.com/uploads/posts/covers/the-great-father-2017-dual-audio-hindi-480p-uncut-bluray-470mb.webp,,2026-06-28T07:22:22.176639+00:00,
88690-dj-duvvada-jagannadham-2017-hindi-dubbed-720p-uncut-dthrip-700mb,https://moviedbhub.com/88690-dj-duvvada-jagannadham-2017-hindi-dubbed-720p-uncut-dthrip-700mb.html,DJ Duvvada Jagannadham 2017 Hindi Dubbed Full Movie 720p Uncut DTHRip - 700MB,https://moviehdtv.com/uploads/posts/covers/dj-duvvada-jagannadham-2017-hindi-dubbed-720p-uncut-dthrip-700mb.webp,"November 03, 2017",0,movie,: DJ Duvvada Jagannadham,2017,Mkv,700MB,te,,Action|Comedy|Crime,"Allu Arjun as Duvvada Jagannadham (DJ), Pooja Hegde as Pooja, Brahmanandam as , Tanikella Bharani as DJ's Father, Vennela Kishore as Vignesh, Rao Ramesh as Royyala Naidu, Murali Sharma as Purushottham, Subbaraju as Royyala Naidu's Son, Chandramohan as , Posani Krishna Murali as , Hari Teja as , Prabhakar as , Sameer Hasan as , Vidyullekha Raman as , Sravan Raghavendra as",- 6.2,,,"A righteous young man who helps everyone gain their rightful justice, gets recruited as an undercover agent to work on a high profile case that involves a crime lord working for a corrupt minister who also happens to be the father of his romantic interest.",,https://moviehdtv.com/uploads/posts/covers/dj-duvvada-jagannadham-2017-hindi-dubbed-720p-uncut-dthrip-700mb.webp,,2026-06-28T07:22:22.223480+00:00,
360465-dj-duvvada-jagannadham-2017-dual-audio-hindi-movie-hevc-200mb-dthrip,https://moviedbhub.com/360465-dj-duvvada-jagannadham-2017-dual-audio-hindi-movie-hevc-200mb-dthrip.html,DJ Duvvada Jagannadham 2017 200mb Dual Audio Hindi movie Hevc DTHRip,https://moviehdtv.com/uploads/posts/covers/dj-duvvada-jagannadham-2017-dual-audio-hindi-movie-hevc-200mb-dthrip.webp,"November 03, 2017",0,movie,: DJ Duvvada Jagannadham,2017,Mkv,200MB,te,,Action|Comedy|Crime,"Allu Arjun as Duvvada Jagannadham (DJ), Pooja Hegde as Pooja, Brahmanandam as , Tanikella Bharani as DJ's Father, Vennela Kishore as Vignesh, Rao Ramesh as Royyala Naidu, Murali Sharma as Purushottham, Subbaraju as Royyala Naidu's Son, Chandramohan as , Posani Krishna Murali as , Hari Teja as , Prabhakar as , Sameer Hasan as , Vidyullekha Raman as , Sravan Raghavendra as",- 6.2,,,"A righteous young man who helps everyone gain their rightful justice, gets recruited as an undercover agent to work on a high profile case that involves a crime lord working for a corrupt minister who also happens to be the father of his romantic interest.",,https://moviehdtv.com/uploads/posts/covers/dj-duvvada-jagannadham-2017-dual-audio-hindi-movie-hevc-200mb-dthrip.webp|https://moviehdtv.com/uploads/posts/covers/screenshot-DJ-Duvvada.2.webp|https://moviehdtv.com/uploads/posts/covers/screenshot-DJ-Duvvada.webp,,2026-06-28T07:22:22.274718+00:00,
169715-the-great-father-2017-hindi-dual-audio-bluray-hevc-200mb,https://moviedbhub.com/169715-the-great-father-2017-hindi-dual-audio-bluray-hevc-200mb.html,The Great Father 2017 200mb Hindi Dual Audio Bluray Hevc Download,https://moviehdtv.com/uploads/posts/covers/the-great-father-2017-hindi-dual-audio-bluray-hevc-200mb.webp,"November 03, 2017",0,movie,: The Great Father,2017,Mkv,200MB,ml,,Action|Crime|Mystery,"Mammootty as David, Arya as Andrews Eapen, Anikha Surendran as Sara David, Sneha as Michelle David, Miya George as Dr.Susan, Malavika Mohanan as Meera, Kalabhavan Shajon as Sathyan, Santhosh Keezhattoor as James, Sohan Seenulal as Gokul, I. M. Vijayan as Anto, Balaji Sarma as Jose, Sunil Sukhada as Principal, Rony David Raj as Frango, Mukundan as Ravi, Shaji Nadesan as Joby, Deepak Parambol as ACP Shafeer, Aaryan Krishna Menon as Student at Boys Hostel, Anu Joseph as Interrogator at School, Shaam as Samuel, Subeesh Sudhi as Narayanan's Nephew, Prajod Kalabhavan as Johny, Molly Kannamaly as Lady at road, Baiju V.K. as Wazeem, Aneesh G Menon as Dismissed Guy",- 6.231,,,A businessman who is trying hard to be a good father to his daughter has a run-in with malevolent policeman.,,https://moviehdtv.com/uploads/posts/covers/the-great-father-2017-hindi-dual-audio-bluray-hevc-200mb.webp,,2026-06-28T07:22:22.337928+00:00,
